id,paes,idioma,cap,comune,regione,provincia,provinciasigla,latitudine,longitudine
1,IT,IT,10,Casape,Lazio,Roma,RM,41.90988712,12.88636117
2,IT,IT,10,Gallicano nel Lazio,Lazio,Roma,RM,41.87411945,12.81858756
3,IT,IT,10,Marcellina,Lazio,Roma,RM,42.02881608,12.80749572
4,IT,IT,10,Monteflavio,Lazio,Roma,RM,42.11243328,12.83069539
5,IT,IT,10,Montelibretti,Lazio,Roma,RM,42.13641967,12.73842826
6,IT,IT,10,Montorio Romano,Lazio,Roma,RM,42.14268227,12.80777727
7,IT,IT,10,Moricone,Lazio,Roma,RM,42.1136692,12.77546307
8,IT,IT,10,Poli,Lazio,Roma,RM,41.89354229,12.89411727
9,IT,IT,10,San Gregorio da Sassola,Lazio,Roma,RM,41.91870387,12.87189854
10,IT,IT,10,San Polo dei Cavalieri,Lazio,Roma,RM,42.01240101,12.84160163
11,IT,IT,10,Sant'Angelo Romano,Lazio,Roma,RM,42.0355419,12.71394108
12,IT,IT,11,Tivoli,Lazio,Roma,RM,41.95475272,12.72104264
13,IT,IT,12,Guidonia Montecelio,Lazio,Roma,RM,41.99418716,12.74155119
14,IT,IT,13,Fonte Nuova,Lazio,Roma,RM,41.99500485,12.61905086
15,IT,IT,13,Mentana,Lazio,Roma,RM,42.0373582,12.63828445
16,IT,IT,15,Monterotondo,Lazio,Roma,RM,42.05288095,12.6173694
17,IT,IT,17,Nerola,Lazio,Roma,RM,42.16418385,12.78706537
18,IT,IT,18,Palombara Sabina,Lazio,Roma,RM,42.07501797,12.76772648
19,IT,IT,19,Tivoli,Lazio,Roma,RM,41.94513701,12.79502628
20,IT,IT,20,Agosta,Lazio,Roma,RM,41.98337586,13.03404934
21,IT,IT,20,Arcinazzo Romano,Lazio,Roma,RM,41.88282323,13.11594958
22,IT,IT,20,Camerata Nuova,Lazio,Roma,RM,42.02300781,13.10986048
23,IT,IT,20,Canterano,Lazio,Roma,RM,41.94493396,13.03922789
24,IT,IT,20,Cerreto Laziale,Lazio,Roma,RM,41.94670413,12.98338324
25,IT,IT,20,Cervara di Roma,Lazio,Roma,RM,41.99189582,13.06897533
26,IT,IT,20,Ciciliano,Lazio,Roma,RM,41.96445758,12.94100231
27,IT,IT,20,Cineto Romano,Lazio,Roma,RM,42.05029012,12.96191286
28,IT,IT,20,Jenne,Lazio,Roma,RM,41.8922856,13.17141331
29,IT,IT,20,Mandela,Lazio,Roma,RM,42.03214243,12.92375023
30,IT,IT,20,Marano Equo,Lazio,Roma,RM,41.99586306,13.01410414
31,IT,IT,20,Percile,Lazio,Roma,RM,42.09706235,12.91137571
32,IT,IT,20,Pisoniano,Lazio,Roma,RM,41.90760828,12.96023256
33,IT,IT,20,Riofreddo,Lazio,Roma,RM,42.06416373,12.99911875
34,IT,IT,20,Rocca Canterano,Lazio,Roma,RM,41.96088674,13.02245259
35,IT,IT,20,Roccagiovine,Lazio,Roma,RM,42.05378975,12.90113655
36,IT,IT,20,Sambuci,Lazio,Roma,RM,41.98919809,12.93952199
37,IT,IT,20,Saracinesco,Lazio,Roma,RM,42.00427208,12.95333411
38,IT,IT,20,Vallepietra,Lazio,Roma,RM,41.92660003,13.23118409
39,IT,IT,20,Vallinfreda,Lazio,Roma,RM,42.08685333,12.99829637
40,IT,IT,20,Vivaro Romano,Lazio,Roma,RM,42.10221131,13.00816253
41,IT,IT,21,Affile,Lazio,Roma,RM,41.88832003,13.09866525
42,IT,IT,22,Anticoli Corrado,Lazio,Roma,RM,42.01266658,12.98990632
43,IT,IT,23,Arsoli,Lazio,Roma,RM,42.04009645,13.01473221
44,IT,IT,24,Castel Madama,Lazio,Roma,RM,41.97473008,12.86961469
45,IT,IT,25,Gerano,Lazio,Roma,RM,41.9380116,12.99655356
46,IT,IT,26,Licenza,Lazio,Roma,RM,42.07822125,12.90204772
47,IT,IT,27,Roviano,Lazio,Roma,RM,42.02789846,12.99500635
48,IT,IT,28,Subiaco,Lazio,Roma,RM,41.92872173,13.09572284
49,IT,IT,29,Vicovaro,Lazio,Roma,RM,42.0200592,12.89675301
50,IT,IT,30,Bellegra,Lazio,Roma,RM,41.88668602,13.02805617
51,IT,IT,30,Capranica Prenestina,Lazio,Roma,RM,41.86671883,12.95164034
52,IT,IT,30,Castel San Pietro Romano,Lazio,Roma,RM,41.84964771,12.89598807
53,IT,IT,30,Colonna,Lazio,Roma,RM,41.83421011,12.75287367
54,IT,IT,30,Gavignano,Lazio,Roma,RM,41.70284022,13.05205954
55,IT,IT,30,Genazzano,Lazio,Roma,RM,41.82812883,12.97230203
56,IT,IT,30,Gorga,Lazio,Roma,RM,41.65981004,13.11102216
57,IT,IT,30,Labico,Lazio,Roma,RM,41.79259136,12.8824878
58,IT,IT,30,Montelanico,Lazio,Roma,RM,41.65537343,13.04195531
59,IT,IT,30,Rocca di Cave,Lazio,Roma,RM,41.8485312,12.9467207
60,IT,IT,30,Rocca Santo Stefano,Lazio,Roma,RM,41.91334266,13.02541994
61,IT,IT,30,Roiate,Lazio,Roma,RM,41.87564869,13.06897836
62,IT,IT,30,San Cesareo,Lazio,Roma,RM,41.81820741,12.80372168
63,IT,IT,30,San Vito Romano,Lazio,Roma,RM,41.88116392,12.9803771
64,IT,IT,31,Artena,Lazio,Roma,RM,41.73985675,12.91645413
65,IT,IT,32,Carpineto Romano,Lazio,Roma,RM,41.60561453,13.08615297
66,IT,IT,33,Cave,Lazio,Roma,RM,41.81998691,12.93553644
67,IT,IT,34,Colleferro,Lazio,Roma,RM,41.73315963,13.0066775
68,IT,IT,35,Olevano Romano,Lazio,Roma,RM,41.86578454,13.03533309
69,IT,IT,36,Palestrina,Lazio,Roma,RM,41.83879371,12.88559354
70,IT,IT,37,Segni,Lazio,Roma,RM,41.69077665,13.01705216
71,IT,IT,38,Valmontone,Lazio,Roma,RM,41.77882184,12.91838069
72,IT,IT,39,Zagarolo,Lazio,Roma,RM,41.84151975,12.82971584
73,IT,IT,40,Ardea,Lazio,Roma,RM,41.61447547,12.51626549
74,IT,IT,40,Ariccia,Lazio,Roma,RM,41.72392893,12.67473989
75,IT,IT,40,Castel Gandolfo,Lazio,Roma,RM,41.75377619,12.6496746
